"Geographic code","Geographic name","Global non-response rate","Data quality flag","Age","Sex","Total - Highest certificate, diploma or degree (2016 counts)","No certificate, diploma or degree (2016 counts)","Secondary (high) school diploma or equivalency certificate (2016 counts)","Apprenticeship or trades certificate or diploma (2016 counts)","College, CEGEP or other non-university certificate or diploma (2016 counts)","University certificate or diploma below bachelor level (2016 counts)","University certificate, diploma or degree at bachelor level or above (2016 counts)","Total - Highest certificate, diploma or degree (% distribution 2016)","No certificate, diploma or degree (% distribution 2016)","Secondary (high) school diploma or equivalency certificate (% distribution 2016)","Apprenticeship or trades certificate or diploma (% distribution 2016)","College, CEGEP or other non-university certificate or diploma (% distribution 2016)","University certificate or diploma below bachelor level (% distribution 2016)","University certificate, diploma or degree at bachelor level or above (% distribution 2016)"
"48","Alberta","6.1","20000","55 to 64","Both sexes","494610","70480","139410","59595","108050","14990","102090","100","14.2","28.2","12","21.8","3","20.6"
"48","Alberta","6.1","20000","55 to 64","Male","247355","37910","58670","48385","43595","6010","52795","100","15.3","23.7","19.6","17.6","2.4","21.3"
"48","Alberta","6.1","20000","55 to 64","Female","247250","32565","80745","11210","64455","8985","49290","100","13.2","32.7","4.5","26.1","3.6","19.9"
"59","British Columbia","6.1","20001","All ages, 15-plus","Both sexes","3870380","601640","1138560","338985","700945","138010","952240","100","15.5","29.4","8.8","18.1","3.6","24.6"
"59","British Columbia","6.1","20001","All ages, 15-plus","Male","1882770","305325","549580","250265","280300","54425","442880","100","16.2","29.2","13.3","14.9","2.9","23.5"
"59","British Columbia","6.1","20001","All ages, 15-plus","Female","1987610","296320","588985","88720","420645","83585","509355","100","14.9","29.6","4.5","21.2","4.2","25.6"
"59","British Columbia","6.1","20001","25 to 64","Both sexes","2532975","244000","671015","231445","528805","99695","758015","100","9.6","26.5","9.1","20.9","3.9","29.9"
"59","British Columbia","6.1","20001","25 to 64","Male","1227040","134410","330835","172290","210880","39210","339410","100","11","27","14","17.2","3.2","27.7"
"59","British Columbia","6.1","20001","25 to 64","Female","1305940","109585","340175","59160","317925","60490","418605","100","8.4","26","4.5","24.3","4.6","32.1"
"59","British Columbia","6.1","20001","25 to 34","Both sexes","611065","41760","160025","51720","110960","26490","220115","100","6.8","26.2","8.5","18.2","4.3","36"
"59","British Columbia","6.1","20001","25 to 34","Male","303520","24480","90195","38685","46565","11030","92565","100","8.1","29.7","12.7","15.3","3.6","30.5"
"59","British Columbia","6.1","20001","25 to 34","Female","307555","17275","69830","13030","64400","15460","127550","100","5.6","22.7","4.2","20.9","5","41.5"
"59","British Columbia","6.1","20001","35 to 44","Both sexes","583040","44510","137270","48455","125835","24735","202240","100","7.6","23.5","8.3","21.6","4.2","34.7"
"59","British Columbia","6.1","20001","35 to 44","Male","280955","25250","73520","35630","50950","9815","85790","100","9","26.2","12.7","18.1","3.5","30.5"
"59","British Columbia","6.1","20001","35 to 44","Female","302080","19255","63755","12830","74885","14920","116440","100","6.4","21.1","4.2","24.8","4.9","38.5"
"59","British Columbia","6.1","20001","45 to 54","Both sexes","668950","67420","175775","61710","149310","26180","188555","100","10.1","26.3","9.2","22.3","3.9","28.2"
"59","British Columbia","6.1","20001","45 to 54","Male","321195","37380","83170","44735","57485","9785","88640","100","11.6","25.9","13.9","17.9","3","27.6"
"59","British Columbia","6.1","20001","45 to 54","Female","347750","30035","92595","16975","91830","16400","99915","100","8.6","26.6","4.9","26.4","4.7","28.7"
"59","British Columbia","6.1","20001","55 to 64","Both sexes","669925","90320","197945","69560","142700","22290","147105","100","13.5","29.5","10.4","21.3","3.3","22"
"59","British Columbia","6.1","20001","55 to 64","Male","321365","47300","83950","53235","55885","8585","72410","100","14.7","26.1","16.6","17.4","2.7","22.5"
"59","British Columbia","6.1","20001","55 to 64","Female","348555","43025","113995","16325","86810","13710","74695","100","12.3","32.7","4.7","24.9","3.9","21.4"
"60","Yukon","6.8","00101","All ages, 15-plus","Both sexes","28880","4710","6830","3140","6115","820","7255","100","16.3","23.6","10.9","21.2","2.8","25.1"
"60","Yukon","6.8","00101","All ages, 15-plus","Male","14310","2635","3325","2450","2520","320","3060","100","18.4","23.2","17.1","17.6","2.2","21.4"
"60","Yukon","6.8","00101","All ages, 15-plus","Female","14570","2075","3505","695","3600","500","4195","100","14.2","24.1","4.8","24.7","3.4","28.8"
"60","Yukon","6.8","00101","25 to 64","Both sexes","21030","2250","4400","2395","4975","670","6340","100","10.7","20.9","11.4","23.7","3.2","30.1"
"60","Yukon","6.8","00101","25 to 64","Male","10190","1395","2060","1880","2020","255","2575","100","13.7","20.2","18.4","19.8","2.5","25.3"
"60","Yukon","6.8","00101","25 to 64","Female","10840","855","2335","520","2955","410","3765","100","7.9","21.5","4.8","27.3","3.8","34.7"
"60","Yukon","6.8","00101","25 to 34","Both sexes","5350","505","1285","530","1160","135","1740","100","9.4","24","9.9","21.7","2.5","32.5"
"60","Yukon","6.8","00101","25 to 34","Male","2555","315","640","420","490","55","640","100","12.3","25","16.4","19.2","2.2","25"
"60","Yukon","6.8","00101","25 to 34","Female","2800","195","650","110","675","80","1095","100","7","23.2","3.9","24.1","2.9","39.1"
"60","Yukon","6.8","00101","35 to 44","Both sexes","5030","365","865","495","1255","185","1860","100","7.3","17.2","9.8","25","3.7","37"
"60","Yukon","6.8","00101","35 to 44","Male","2340","215","450","360","490","80","740","100","9.2","19.2","15.4","20.9","3.4","31.6"
"60","Yukon","6.8","00101","35 to 44","Female","2690","150","415","135","765","105","1120","100","5.6","15.4","5","28.4","3.9","41.6"
"60","Yukon","6.8","00101","45 to 54","Both sexes","5225","640","1140","580","1300","170","1400","100","12.2","21.8","11.1","24.9","3.3","26.8"
"60","Yukon","6.8","00101","45 to 54","Male","2555","415","565","445","470","65","600","100","16.2","22.1","17.4","18.4","2.5","23.5"
"60","Yukon","6.8","00101","45 to 54","Female","2670","230","570","135","825","105","805","100","8.6","21.3","5.1","30.9","3.9","30.1"
"60","Yukon","6.8","00101","55 to 64","Both sexes","5430","740","1120","790","1260","180","1335","100","13.6","20.6","14.5","23.2","3.3","24.6"
"60","Yukon","6.8","00101","55 to 64","Male","2745","450","415","655","570","55","595","100","16.4","15.1","23.9","20.8","2","21.7"
"60","Yukon","6.8","00101","55 to 64","Female","2685","285","705","135","690","125","740","100","10.6","26.3","5","25.7","4.7","27.6"
"61","Northwest Territories","8.8","00101","All ages, 15-plus","Both sexes","32330","8860","6915","3165","6115","805","6465","100","27.4","21.4","9.8","18.9","2.5","20"
"61","Northwest Territories","8.8","00101","All ages, 15-plus","Male","16475","4745","3510","2475","2730","325","2690","100","28.8","21.3","15","16.6","2","16.3"
"61","Northwest Territories","8.8","00101","All ages, 15-plus","Female","15855","4115","3410","690","3385","480","3780","100","26","21.5","4.4","21.3","3","23.8"
"61","Northwest Territories","8.8","00101","25 to 64","Both sexes","23610","4845","4570","2615","5135","650","5795","100","20.5","19.4","11.1","21.7","2.8","24.5"
"61","Northwest Territories","8.8","00101","25 to 64","Male","11885","2650","2325","2045","2245","265","2360","100","22.3","19.6","17.2","18.9","2.2","19.9"
"61","Northwest Territories","8.8","00101","25 to 64","Female","11725","2195","2250","570","2890","385","3435","100","18.7","19.2","4.9","24.6","3.3","29.3"
"61","Northwest Territories","8.8","00101","25 to 34","Both sexes","6785","1330","1600","605","1265","135","1840","100","19.6","23.6","8.9","18.6","2","27.1"
"61","Northwest Territories","8.8","00101","25 to 34","Male","3355","770","810","470","610","70","630","100","23","24.1","14","18.2","2.1","18.8"
"61","Northwest Territories","8.8","00101","25 to 34","Female","3420","565","790","140","660","65","1210","100","16.5","23.1","4.1","19.3","1.9","35.4"
"61","Northwest Territories","8.8","00101","35 to 44","Both sexes","5965","1090","1035","615","1275","145","1815","100","18.3","17.4","10.3","21.4","2.4","30.4"
"61","Northwest Territories","8.8","00101","35 to 44","Male","2945","605","575","480","530","55","705","100","20.5","19.5","16.3","18","1.9","23.9"
"61","Northwest Territories","8.8","00101","35 to 44","Female","3025","490","460","135","740","95","1110","100","16.2","15.2","4.5","24.5","3.1","36.7"
"61","Northwest Territories","8.8","00101","45 to 54","Both sexes","6010","1375","1070","745","1500","185","1130","100","22.9","17.8","12.4","25","3.1","18.8"
"61","Northwest Territories","8.8","00101","45 to 54","Male","3075","740","520","570","645","75","530","100","24.1","16.9","18.5","21","2.4","17.2"
"61","Northwest Territories","8.8","00101","45 to 54","Female","2940","640","545","180","855","110","605","100","21.8","18.5","6.1","29.1","3.7","20.6"
"61","Northwest Territories","8.8","00101","55 to 64","Both sexes","4855","1045","865","645","1095","185","1010","100","21.5","17.8","13.3","22.6","3.8","20.8"
"61","Northwest Territories","8.8","00101","55 to 64","Male","2510","545","410","530","465","70","500","100","21.7","16.3","21.1","18.5","2.8","19.9"
"61","Northwest Territories","8.8","00101","55 to 64","Female","2345","500","455","120","630","120","510","100","21.3","19.4","5.1","26.9","5.1","21.7"
"62","Nunavut","8.7","00101","All ages, 15-plus","Both sexes","23930","12140","3615","1835","3580","220","2540","100","50.7","15.1","7.7","15","0.9","10.6"
"62","Nunavut","8.7","00101","All ages, 15-plus","Male","12175","6175","1830","1450","1530","90","1095","100","50.7","15","11.9","12.6","0.7","9"
"62","Nunavut","8.7","00101","All ages, 15-plus","Female","11755","5960","1785","385","2050","125","1450","100","50.7","15.2","3.3","17.4","1.1","12.3"
"62","Nunavut","8.7","00101","25 to 64","Both sexes","16480","6750","2405","1590","3180","200","2350","100","41","14.6","9.6","19.3","1.2","14.3"
"62","Nunavut","8.7","00101","25 to 64","Male","8390","3435","1270","1255","1345","85","1005","100","40.9","15.1","15","16","1","12"
"62","Nunavut","8.7","00101","25 to 64","Female","8090","3315","1140","335","1840","115","1350","100","41","14.1","4.1","22.7","1.4","16.7"
"62","Nunavut","8.7","00101","25 to 34","Both sexes","5915","2570","1170","405","985","40","740","100","43.4","19.8","6.8","16.7","0.7","12.5"
"62","Nunavut","8.7","00101","25 to 34","Male","2925","1340","590","315","375","15","285","100","45.8","20.2","10.8","12.8","0.5","9.7"
"62","Nunavut","8.7","00101","25 to 34","Female","2990","1230","580","90","610","25","460","100","41.1","19.4","3","20.4","0.8","15.4"
"62","Nunavut","8.7","00101","35 to 44","Both sexes","4360","1685","620","445","850","50","710","100","38.6","14.2","10.2","19.5","1.1","16.3"
"62","Nunavut","8.7","00101","35 to 44","Male","2225","865","310","350","375","20","310","100","38.9","13.9","15.7","16.9","0.9","13.9"
"62","Nunavut","8.7","00101","35 to 44","Female","2135","815","315","95","480","30","400","100","38.2","14.8","4.4","22.5","1.4","18.7"
"62","Nunavut","8.7","00101","45 to 54","Both sexes","3865","1625","380","445","865","50","495","100","42","9.8","11.5","22.4","1.3","12.8"
"62","Nunavut","8.7","00101","45 to 54","Male","1985","805","220","345","360","30","220","100","40.6","11.1","17.4","18.1","1.5","11.1"
"62","Nunavut","8.7","00101","45 to 54","Female","1885","820","160","100","505","20","275","100","43.5","8.5","5.3","26.8","1.1","14.6"
"62","Nunavut","8.7","00101","55 to 64","Both sexes","2345","870","235","295","470","65","405","100","37.1","10","12.6","20","2.8","17.3"
"62","Nunavut","8.7","00101","55 to 64","Male","1255","420","145","240","235","25","190","100","33.5","11.6","19.1","18.7","2","15.1"
"62","Nunavut","8.7","00101","55 to 64","Female","1085","445","90","55","245","40","220","100","41","8.3","5.1","22.6","3.7","20.3"
