citizenship_status,agegroup,sex,province,education,cps19_v_likely,cps19_votechoice
Canadian citizen,20 or less,Female,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,21 to 30,Male,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,ndp
Canadian citizen,21 to 30,Male,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Another party (please specify)
Canadian citizen,61 to 70,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Likely to vote,Liberal Party
Canadian citizen,21 to 30,Female,Ontario,"University certificate, diploma or degree above the bach...",Likely to vote,ndp
Canadian citizen,51 to 60,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,ndp
Canadian citizen,21 to 30,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,61 to 70,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,Saskatchewan,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,Quebec,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,61 to 70,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Conservative Party
Canadian citizen,41 to 50,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,Bloc Québécois
Canadian citizen,31 to 40,Male,Ontario,High school diploma or a high school equivalency certificate,Likely to vote,Green Party
Canadian citizen,41 to 50,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,ndp
Canadian citizen,21 to 30,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Liberal Party
Canadian citizen,51 to 60,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Green Party
Canadian citizen,31 to 40,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,ndp
Canadian citizen,61 to 70,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Female,Alberta,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,ndp
Canadian citizen,61 to 70,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,Alberta,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Saskatchewan,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,71 to 80,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,31 to 40,Female,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,61 to 70,Male,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Male,Quebec,"University certificate, diploma or degree above the bach...",Likely to vote,Conservative Party
Canadian citizen,21 to 30,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,21 to 30,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,71 to 80,Male,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,Ontario,Less than high school diploma or its equivalent,Certain to vote,Conservative Party
Canadian citizen,41 to 50,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,Nova Scotia,"University certificate, diploma or degree above the bach...",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,Quebec,High school diploma or a high school equivalency certificate,Likely to vote,Green Party
Canadian citizen,51 to 60,Female,Ontario,Less than high school diploma or its equivalent,Certain to vote,Green Party
Canadian citizen,41 to 50,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Male,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,Bloc Québécois
Canadian citizen,31 to 40,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,British Columbia,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Nova Scotia,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,61 to 70,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,21 to 30,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Liberal Party
