citizenship_status,agegroup,sex,province,education,cps19_v_likely,cps19_votechoice
Canadian citizen,51 to 60,Female,Quebec,Less than high school diploma or its equivalent,Certain to vote,Bloc Québécois
Canadian citizen,71 to 80,Female,British Columbia,"University certificate, diploma or degree above the bach...",Certain to vote,Conservative Party
Canadian citizen,31 to 40,Male,Ontario,University certificate or diploma below the bachelor's level,Likely to vote,Green Party
Canadian citizen,61 to 70,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Likely to vote,Liberal Party
Canadian citizen,21 to 30,Male,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,21 to 30,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Bloc Québécois
Canadian citizen,21 to 30,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,41 to 50,Male,Quebec,High school diploma or a high school equivalency certificate,Likely to vote,Liberal Party
Canadian citizen,51 to 60,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Female,Alberta,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,61 to 70,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Bloc Québécois
Canadian citizen,51 to 60,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Conservative Party
Canadian citizen,51 to 60,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,41 to 50,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Female,Alberta,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,British Columbia,University certificate or diploma below the bachelor's level,Certain to vote,Green Party
Canadian citizen,above 80,Male,Quebec,University certificate or diploma below the bachelor's level,Certain to vote,Bloc Québécois
Canadian citizen,61 to 70,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",Likely to vote,ndp
Canadian citizen,above 80,Male,Alberta,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,51 to 60,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,31 to 40,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Green Party
Canadian citizen,51 to 60,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,ndp
Canadian citizen,41 to 50,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Green Party
Canadian citizen,21 to 30,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Liberal Party
Canadian citizen,41 to 50,Male,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,People's Party
Canadian citizen,61 to 70,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Female,Ontario,Less than high school diploma or its equivalent,Certain to vote,ndp
Canadian citizen,21 to 30,Female,Quebec,University certificate or diploma below the bachelor's level,Certain to vote,ndp
Canadian citizen,61 to 70,Male,Alberta,Less than high school diploma or its equivalent,Certain to vote,Conservative Party
Canadian citizen,21 to 30,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Female,Quebec,High school diploma or a high school equivalency certificate,Likely to vote,Conservative Party
Canadian citizen,51 to 60,Female,Saskatchewan,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,31 to 40,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,ndp
Canadian citizen,61 to 70,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,31 to 40,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,71 to 80,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,31 to 40,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Green Party
Canadian citizen,41 to 50,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,31 to 40,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,ndp
Canadian citizen,41 to 50,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,31 to 40,Female,Saskatchewan,High school diploma or a high school equivalency certificate,Likely to vote,ndp
Canadian citizen,51 to 60,Female,British Columbia,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,41 to 50,Female,Alberta,"University certificate, diploma or degree above the bach...",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Green Party
Canadian citizen,51 to 60,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Likely to vote,Conservative Party
Canadian citizen,31 to 40,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,ndp
Canadian citizen,51 to 60,Female,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,Saskatchewan,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Alberta,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Alberta,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,above 80,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Alberta,"College, CEGEP or other non-university certificate or di...",Certain to vote,ndp
Canadian citizen,31 to 40,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Male,Saskatchewan,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,31 to 40,Male,Alberta,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Likely to vote,Liberal Party
Canadian citizen,61 to 70,Female,Alberta,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,Quebec,High school diploma or a high school equivalency certificate,Likely to vote,Bloc Québécois
Canadian citizen,31 to 40,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Conservative Party
Canadian citizen,51 to 60,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Another party (please specify)
Canadian citizen,51 to 60,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Bloc Québécois
Canadian citizen,31 to 40,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,61 to 70,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,71 to 80,Female,Alberta,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Likely to vote,Liberal Party
Canadian citizen,31 to 40,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Green Party
Canadian citizen,31 to 40,Female,British Columbia,"University certificate, diploma or degree above the bach...",Certain to vote,ndp
Canadian citizen,51 to 60,Male,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,ndp
Canadian citizen,41 to 50,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Quebec,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Alberta,High school diploma or a high school equivalency certificate,Likely to vote,Conservative Party
Canadian citizen,51 to 60,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,ndp
Canadian citizen,61 to 70,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,71 to 80,Female,Alberta,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Male,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,71 to 80,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Another party (please specify)
Canadian citizen,51 to 60,Female,Nova Scotia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,Alberta,"University certificate, diploma or degree above the bach...",Certain to vote,Conservative Party
Canadian citizen,71 to 80,Male,British Columbia,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Female,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,20 or less,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,51 to 60,Female,Quebec,Less than high school diploma or its equivalent,Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,British Columbia,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Likely to vote,Conservative Party
Canadian citizen,41 to 50,Male,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,British Columbia,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Female,British Columbia,Less than high school diploma or its equivalent,Certain to vote,ndp
Canadian citizen,21 to 30,Male,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Green Party
Canadian citizen,51 to 60,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Male,British Columbia,High school diploma or a high school equivalency certificate,Certain to vote,People's Party
Canadian citizen,31 to 40,Male,Alberta,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,Alberta,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,31 to 40,Female,British Columbia,Less than high school diploma or its equivalent,Certain to vote,ndp
Canadian citizen,51 to 60,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Female,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,ndp
Canadian citizen,71 to 80,Male,British Columbia,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,71 to 80,Male,British Columbia,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Female,Quebec,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,British Columbia,High school diploma or a high school equivalency certificate,Likely to vote,Liberal Party
Canadian citizen,31 to 40,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Bloc Québécois
Canadian citizen,61 to 70,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,71 to 80,Male,Alberta,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,51 to 60,Female,British Columbia,"University certificate, diploma or degree above the bach...",Certain to vote,Green Party
Canadian citizen,61 to 70,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",Likely to vote,Liberal Party
Canadian citizen,61 to 70,Male,Manitoba,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,31 to 40,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Green Party
Canadian citizen,51 to 60,Female,Alberta,"University certificate, diploma or degree above the bach...",Certain to vote,Conservative Party
Canadian citizen,21 to 30,Female,Alberta,High school diploma or a high school equivalency certificate,Likely to vote,ndp
Canadian citizen,71 to 80,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,71 to 80,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Female,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,ndp
Canadian citizen,above 80,Male,British Columbia,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,21 to 30,Male,Ontario,High school diploma or a high school equivalency certificate,Likely to vote,Conservative Party
Canadian citizen,51 to 60,Male,British Columbia,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,31 to 40,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Bloc Québécois
Canadian citizen,51 to 60,Male,Alberta,"College, CEGEP or other non-university certificate or di...",Likely to vote,Conservative Party
Canadian citizen,21 to 30,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,71 to 80,Male,British Columbia,University certificate or diploma below the bachelor's level,Likely to vote,Green Party
Canadian citizen,51 to 60,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Bloc Québécois
Canadian citizen,31 to 40,Female,Quebec,High school diploma or a high school equivalency certificate,Likely to vote,Bloc Québécois
Canadian citizen,41 to 50,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,ndp
Canadian citizen,41 to 50,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,ndp
Canadian citizen,61 to 70,Male,Alberta,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Alberta,High school diploma or a high school equivalency certificate,Certain to vote,Another party (please specify)
Canadian citizen,41 to 50,Female,Saskatchewan,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,51 to 60,Female,Quebec,High school diploma or a high school equivalency certificate,Likely to vote,Bloc Québécois
Canadian citizen,41 to 50,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,71 to 80,Female,Saskatchewan,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Liberal Party
Canadian citizen,31 to 40,Male,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Green Party
Canadian citizen,41 to 50,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,51 to 60,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,ndp
Canadian citizen,51 to 60,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,41 to 50,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,People's Party
Canadian citizen,61 to 70,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Bloc Québécois
Canadian citizen,31 to 40,Female,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,People's Party
Canadian citizen,61 to 70,Female,Quebec,High school diploma or a high school equivalency certificate,Likely to vote,Conservative Party
Canadian citizen,51 to 60,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,ndp
Canadian citizen,51 to 60,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Likely to vote,Bloc Québécois
Canadian citizen,61 to 70,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Bloc Québécois
Canadian citizen,61 to 70,Male,Quebec,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,51 to 60,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,71 to 80,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Male,British Columbia,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,51 to 60,Male,British Columbia,University certificate or diploma below the bachelor's level,Certain to vote,Green Party
Canadian citizen,20 or less,Female,Alberta,Less than high school diploma or its equivalent,Certain to vote,Liberal Party
Canadian citizen,21 to 30,Female,New Brunswick,"University certificate, diploma or degree above the bach...",Certain to vote,ndp
Canadian citizen,41 to 50,Male,Ontario,High school diploma or a high school equivalency certificate,Likely to vote,Conservative Party
Canadian citizen,61 to 70,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Bloc Québécois
Canadian citizen,51 to 60,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,41 to 50,Female,Quebec,"University certificate, diploma or degree above the bach...",Likely to vote,Liberal Party
Canadian citizen,31 to 40,Male,Ontario,"University certificate, diploma or degree above the bach...",Likely to vote,Conservative Party
Canadian citizen,71 to 80,Male,Quebec,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,51 to 60,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,ndp
Canadian citizen,51 to 60,Female,Quebec,High school diploma or a high school equivalency certificate,Likely to vote,Bloc Québécois
Canadian citizen,61 to 70,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Male,Manitoba,High school diploma or a high school equivalency certificate,Likely to vote,ndp
Canadian citizen,61 to 70,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,31 to 40,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Bloc Québécois
Canadian citizen,71 to 80,Female,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Male,British Columbia,"University certificate, diploma or degree above the bach...",Certain to vote,Another party (please specify)
Canadian citizen,61 to 70,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Green Party
Canadian citizen,51 to 60,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,31 to 40,Female,Alberta,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,41 to 50,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,Bloc Québécois
Canadian citizen,31 to 40,Female,Ontario,High school diploma or a high school equivalency certificate,Likely to vote,Conservative Party
Canadian citizen,51 to 60,Male,Quebec,Less than high school diploma or its equivalent,Certain to vote,Conservative Party
Canadian citizen,31 to 40,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,71 to 80,Male,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,Green Party
Canadian citizen,41 to 50,Female,Manitoba,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,51 to 60,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Another party (please specify)
Canadian citizen,31 to 40,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,31 to 40,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Conservative Party
Canadian citizen,31 to 40,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Likely to vote,Green Party
Canadian citizen,71 to 80,Male,British Columbia,"University certificate, diploma or degree above the bach...",Certain to vote,Green Party
Canadian citizen,41 to 50,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,31 to 40,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Bloc Québécois
Canadian citizen,61 to 70,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,21 to 30,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,21 to 30,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,People's Party
Canadian citizen,41 to 50,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Green Party
Canadian citizen,51 to 60,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Male,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,31 to 40,Male,British Columbia,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,21 to 30,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Male,Quebec,Less than high school diploma or its equivalent,Certain to vote,Bloc Québécois
Canadian citizen,41 to 50,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Likely to vote,ndp
Canadian citizen,51 to 60,Male,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,ndp
Canadian citizen,21 to 30,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Liberal Party
Canadian citizen,31 to 40,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Another party (please specify)
Canadian citizen,51 to 60,Female,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Green Party
Canadian citizen,41 to 50,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Likely to vote,Conservative Party
Canadian citizen,51 to 60,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Likely to vote,ndp
Canadian citizen,31 to 40,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Likely to vote,Liberal Party
Canadian citizen,41 to 50,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
