province,mean,lower,upper
Alberta,286.61875,251,325
British Columbia,744.2565,686,805.0250000000001
Manitoba,326.93925,285,370
New Brunswick,483.23125,423,543
Newfoundland and Labrador,503.899,445.97499999999997,563.0250000000001
Nova Scotia,615.53575,554,680
Ontario,2095.5535,2007,2187
Prince Edward Island,283.56325,216,355
Quebec,1292.01225,1217,1367
Saskatchewan,149.96675,120,183
