province,mean,lower,upper
Alberta,0,0,0
British Columbia,0.00375,0,0
Manitoba,5e-4,0,0
New Brunswick,2.5e-4,0,0
Newfoundland and Labrador,0.00225,0,0
Nova Scotia,0.00125,0,0
Ontario,0.0045,0,0
Prince Edward Island,0.00375,0,0
Quebec,1015.7825,942,1093
Saskatchewan,0,0,0
