province,mean,lower,upper
Alberta,198.606,167,231
British Columbia,489.41975,436.975,544
Manitoba,199.63975,166.975,236
New Brunswick,99.116,68,134
Newfoundland and Labrador,222.93675,178,273
Nova Scotia,203.00925,161,249
Ontario,939.99375,875,1007
Prince Edward Island,68.07725,33,115
Quebec,405.1295,360,453
Saskatchewan,242.11175,205,281
