province,mean,lower,upper
Alberta,77.6115,58,99
British Columbia,361.427,316,410
Manitoba,100.99875,76,127
New Brunswick,262.57625,212,315
Newfoundland and Labrador,33.6085,16,56
Nova Scotia,187.36625,146,232
Ontario,479.3855,429.97499999999997,532
Prince Edward Island,178.3025,120,242
Quebec,300.37175,259,342
Saskatchewan,59.724,40,83.02500000000009
