province,mean,lower,upper
Alberta,42.36975,28,59
British Columbia,52.71625,35,73
Manitoba,17.176,7,30
New Brunswick,48.75725,26,76
Newfoundland and Labrador,13.35025,3,30
Nova Scotia,38.8655,20,62
Ontario,138.05,111,167
Prince Edward Island,0.0035,0,0
Quebec,89.52175,66,116
Saskatchewan,32.7245,18,51
